game_id,day,date,player,elo_after_game
39,7,,TT,1495.5726045200684
40,7,,TT,1492.9391951116952
41,7,,TT,1490.1768072780844
42,8,,TT,1487.1914798631806
43,8,,TT,1484.1076543800395
44,8,,TT,1480.8791792409181
51,10,,TT,1477.8169462470846
52,10,,TT,1474.9595802107972
54,11,,TT,1477.7850975062092
55,11,,TT,1474.9799739973937
57,11,,TT,1472.3401252768224
58,11,,TT,1469.472223936571
83,13,,TT,1466.4318812671975
84,13,,TT,1470.2226847842314
87,14,,TT,1466.881855107156
88,14,,TT,1470.2271051688108
89,14,,TT,1473.2646594179766
97,15,,TT,1469.7028538652917
98,15,,TT,1473.6431987005894
99,15,,TT,1470.6922576135773
101,16,,TT,1467.7620295011086
102,16,,TT,1464.864617868339
103,16,,TT,1462.422830762661
104,16,,TT,1465.426343496434
105,16,,TT,1462.6614383213875
107,16,,TT,1465.7291756300472
108,16,,TT,1462.7187048173234
110,17,,TT,1460.0469040519147
111,17,,TT,1462.9079938331674
112,17,,TT,1459.6923358519782
113,17,,TT,1456.8340322122865
122,19,,TT,1453.885306505495
123,19,,TT,1456.5997842853444
124,19,,TT,1454.1305740151834
125,19,,TT,1451.2923356999524
126,19,,TT,1448.1892893222876
127,20,,TT,1450.8131801998704
128,20,,TT,1448.0534937187929
129,20,,TT,1444.7818876211181
130,20,,TT,1447.502633200621
131,21,,TT,1450.6716460113373
132,21,,TT,1454.3097468457515
133,21,,TT,1451.6577806666655
134,21,,TT,1449.022514372459
